track,cos_AB,ovl_AB,cos_AC,ovl_AC,cos_AD,ovl_AD,cos_BC,ovl_BC,cos_BD,ovl_BD,cos_CD,ovl_CD
"Pye Corner Audio/Sleep Games/02 - The Black Mill Video Tape.flac",0.0360,0.40,0.0338,0.70,0.9697,0.50,0.9709,0.70,0.0246,0.40,0.0236,0.40
"Pyrolator/New Deutsch/21 - Ein Weihnachtsmann Kommt in Die Disko.mp3",-0.0443,0.30,-0.0368,0.20,0.9812,0.50,0.9757,0.60,-0.0456,0.30,-0.0373,0.10
"Radiohead/Hail to the Thief/04 Backdrifts..mp3",-0.0083,0.20,-0.0503,0.10,0.9756,0.50,0.9602,0.50,-0.0120,0.20,-0.0535,0.10
"Rage against the Machine/The Crow Original Motion Picture Soundtrack/05 Track 05.mp3",-0.0141,0.40,-0.0290,0.40,0.9806,0.50,0.9587,0.90,-0.0251,0.30,-0.0366,0.30
"Randy Macho Man Savage/Be A Man-PROMO CDM/09 Be A Man.mp3",0.0796,0.60,0.0665,0.60,0.9955,0.90,0.9838,0.80,0.0758,0.60,0.0630,0.60
"Ratatat/LP3/10 Brule\u00e9.mp3",0.0412,0.20,0.0460,0.10,0.9638,0.30,0.9661,0.50,0.0346,0.40,0.0375,0.30
"Ratatat/Mirando (Single)/02 Mirando (Animal Collective remix).mp3",-0.0200,0.20,-0.0356,0.10,0.9725,0.50,0.9644,0.70,-0.0206,0.10,-0.0365,0.00
"Ravelab/DJmixed.com_ Keoki/07 - Send Me an Angel (club mix).mp3",-0.0300,0.40,-0.0256,0.70,0.9793,0.70,0.9739,0.70,-0.0378,0.30,-0.0314,0.50
"Recompas/Definition/10 Nur Man Ist Heir.mp3",-0.0237,0.30,-0.0311,0.40,0.9868,0.60,0.9734,0.60,-0.0263,0.40,-0.0349,0.30
"Recompas/Unknown Album/somegirl.mp3",0.0132,0.30,0.0056,0.50,0.9557,0.30,0.9496,0.50,0.0297,0.20,0.0217,0.10
"Richard Devine/Alea Mapper/08 Cr Scope.mp3",0.0410,0.60,0.0066,0.70,0.9013,0.60,0.9115,0.70,0.0314,0.70,0.0098,0.80
"Richard Devine/Unknown Album/05 LipSwitch.mp3",0.0280,0.30,0.0347,0.30,0.9955,0.60,0.9828,0.80,0.0263,0.40,0.0326,0.40
"Rick Garcia/Groove Radio International Presents_ House/02 - Somebody Knew (12_ Mix).mp3",-0.0364,0.50,-0.0500,0.50,0.9871,0.50,0.9873,0.90,-0.0441,0.30,-0.0575,0.20
"Rituraj Yadav/Unknown Album/Vacation Recall.mp3",0.0349,0.30,0.0337,0.40,0.9809,0.60,0.9840,0.80,0.0420,0.50,0.0408,0.40
"Rjd2/Deadringer/11 the proxy.mp3",0.0432,0.50,0.0284,0.50,0.9739,0.40,0.9684,0.50,0.0429,0.30,0.0307,0.30
"Rob Burke & Craig Calvert/Legend of the Greasepole/Pit Cheering 1.mp3",-0.1047,0.20,-0.1065,0.20,0.9932,0.40,0.9899,0.80,-0.1064,0.20,-0.1082,0.20
"Robert Palmer/80's Wave/12 Addicted To Love.mp3",-0.0051,0.60,0.0024,0.50,0.9867,0.60,0.9578,0.60,-0.0041,0.70,0.0044,0.50
"Robin Artus + Paul Kass/Tomorrow's Achievements_ Parry Music Library 1976-86 LP/13 Automation.mp3",0.0290,0.10,0.0187,0.20,0.9809,0.60,0.9804,0.60,0.0212,0.20,0.0111,0.10
"Robin Guthrie And Harold Budd/After The Night Falls/07 And Then I Turned Away.mp3",-0.0162,0.60,-0.0071,0.60,0.9860,0.80,0.9932,0.80,-0.0131,0.60,-0.0040,0.60
"Roedelius & Arnold Kasar/Einfluss/06 Black White Felt.flac",0.0082,0.40,0.0113,0.50,0.9697,0.70,0.9661,0.60,0.0052,0.30,0.0111,0.40
"Rolly Mingwald/The New Girl/05 Dead man's Curve.mp3",0.0222,0.50,0.0140,0.50,0.9944,0.50,0.9832,0.70,0.0231,0.60,0.0164,0.60
"SUBLIME JUPITER SNAKE DUO/CLOWN/06 - THE FLYING ELEPHANT.mp3",-0.0331,0.30,-0.0186,0.20,0.9471,0.10,0.9346,0.60,-0.0617,0.00,-0.0416,0.00
"Salem/King Night/01 King Night.mp3",-0.0164,0.20,0.0004,0.40,0.9791,0.50,0.9463,0.30,-0.0110,0.40,0.0054,0.20
"Sally Shapiro/Somewhere Else/10 Don't Be Afraid (Alternative Version with Anoraak).mp3",-0.0262,0.10,-0.0158,0.20,0.9913,0.60,0.9723,0.30,-0.0297,0.20,-0.0153,0.40
"Sash!/Platinum on Black_ The Final Chapter/13 - Encore Une Fois (Future Breeze Mix).mp3",-0.0507,0.50,-0.0807,0.70,0.9673,0.50,0.9393,0.70,-0.0332,0.40,-0.0666,0.40
"Section 25/New Wave Club Class-X Box (Sinners Day 2011)/204 Looking From A Hilltop.mp3",0.0438,0.40,0.0387,0.80,0.9813,0.50,0.9547,0.40,0.0470,0.40,0.0385,0.40
"Seeland/Tomorrow Today/04 Turnaround.mp3",-0.0108,0.30,-0.0280,0.40,0.9743,0.30,0.9630,0.30,-0.0144,0.50,-0.0322,0.30
"Sergio Cervetti/Natural Born Killers [Original Soundtrack]/21 - Fall of the Rebel Angels.mp3",-0.0080,0.40,0.0020,0.40,0.9840,0.40,0.9764,0.60,-0.0063,0.20,0.0032,0.10
"Shigeto/Lineage/03 Ann Arbor Part 3 & 4.mp3",-0.0310,0.40,-0.0188,0.60,0.9720,0.50,0.9562,0.60,-0.0367,0.40,-0.0270,0.50
"Shining/In the Kingdom of Kitsch You W/01 Goretex Weather Report.mp3",-0.0410,0.00,-0.0191,0.40,0.9393,0.20,0.9510,0.30,-0.0275,0.30,0.0000,0.20
"Shy Child/Noise Won't Stop/07 Good And Evil.mp3",-0.0180,0.10,-0.0402,0.10,0.9874,0.40,0.9735,0.50,-0.0219,0.40,-0.0442,0.20
"Siriusmo/Minirock (GP014) Vinyl/02 a2-siriusmo-urlaub in berlin.mp3",-0.0480,0.30,-0.0751,0.40,0.9696,0.50,0.9507,0.60,-0.0414,0.40,-0.0643,0.20
"Skream/Exit Records Presents - Mosaic Vol. 1/2-17 Motorway.mp3",0.0468,0.20,0.0411,0.20,0.9928,0.50,0.9653,0.90,0.0467,0.30,0.0408,0.20
"Skream/Skream!/01 Tortured Soul.mp3",0.0640,0.10,0.0635,0.40,0.9776,0.20,0.9514,0.30,0.0680,0.10,0.0648,0.20
"Slang/The Freebase Connection/05 MFP Pound Your Ironing Board.mp3",0.0268,0.60,0.0283,0.60,0.9848,0.50,0.9710,0.80,0.0197,0.50,0.0226,0.40
"Small World/DJ-Kicks/02 - Livin' Free.mp3",0.0111,0.40,0.0074,0.40,0.9793,0.50,0.9721,0.60,0.0159,0.30,0.0100,0.20
"Smash Band/Late Night Tales (Lindstr\u00f8m)/13 Grand Drums.mp3",0.0188,0.00,0.0226,0.10,0.9914,0.50,0.9948,0.30,0.0261,0.00,0.0310,0.00
"Solex/MP3VOOR12/09 3 4 12.mp3",-0.0380,0.60,-0.0438,0.60,0.9892,0.80,0.9731,0.70,-0.0364,0.40,-0.0408,0.40
"Sonic Youth/Bad Moon Rising/10 Halloween.mp3",-0.0017,0.30,0.0023,0.30,0.9667,0.50,0.9822,0.90,0.0140,0.60,0.0227,0.50
"Sorcerer/Unknown Album/Sorcerer Mega Mixx 2011.mp3",-0.0214,0.40,-0.0097,0.30,0.9494,0.40,0.9111,0.30,-0.0130,0.40,0.0104,0.30
"Soul Coughing/The X-Files_ The Album/10 - 16 Horses.mp3",-0.0366,0.30,-0.0344,0.50,0.9858,0.60,0.9629,0.40,-0.0361,0.30,-0.0329,0.30
"Soundtrack/Hustle & Flow OST (RealestNiggas.Com)/02 Swerve (Feat. Webbie).mp3",0.0167,0.50,0.0011,0.50,0.9902,0.80,0.9794,0.80,0.0134,0.50,-0.0032,0.50
"Soundtrack/Mysterious Skin/12 The Discovery.mp3",0.0031,0.60,0.0083,0.50,0.9927,0.70,0.9891,0.70,0.0048,0.60,0.0096,0.50
"Soundtrack/Spongebob Squarepants/02 Loop De Loop.mp3",-0.0661,0.30,-0.0781,0.20,0.9881,0.70,0.9705,0.70,-0.0594,0.40,-0.0685,0.40
"Spandau Ballet/Unknown Album/Tainted Love.mp3",-0.0060,0.00,-0.0069,0.30,0.9902,0.40,0.9811,0.50,-0.0071,0.10,-0.0078,0.20
"Spiritualized/Lazer Guided Melodies/11 Sway.mp3",0.0321,0.40,0.0407,0.30,0.9802,0.40,0.9759,0.60,0.0225,0.20,0.0333,0.10
"Squarepusher/Ultravisitor/02 I Fulcrum.mp3",-0.0514,0.20,-0.0568,0.20,0.9837,0.60,0.9639,0.60,-0.0506,0.10,-0.0569,0.20
"Stan Getz_Jo\u00e3o Gilberto/Getz-Gilberto featuring Antonio Carlos Jobim/06 So Dan\u00e7o Samba (with Joao Gilberto).mp3",-0.0369,0.50,-0.0392,0.70,0.9759,0.80,0.9568,0.80,-0.0433,0.60,-0.0378,0.50
"Stereolab & Nurse With Wound/The Wire 20 Years 1982-2002_ Audio Issue/05 Simple Headphone Mind.mp3",-0.0199,0.10,-0.0277,0.30,0.9449,0.20,0.9514,0.50,-0.0440,0.20,-0.0463,0.20
"Stereolab/Fab Four Suture/03 Eye Of The Volcano.mp3",-0.0856,0.30,-0.0710,0.60,0.9539,0.30,0.9136,0.30,-0.0828,0.40,-0.0595,0.30
"Steve Roach/Desert Solitaire/08 Highnoon.mp3",0.0349,0.50,0.0270,0.90,0.9370,0.80,0.9439,0.60,0.0291,0.50,0.0229,0.70
"Stone Temple Pilots/Unknown Album/Plush [Karaoke].mp3",-0.0560,0.20,-0.0560,0.40,0.9942,0.60,0.9770,0.60,-0.0628,0.30,-0.0623,0.30
"Strange Advance/The Best 80s Modern Rock Album...Ever! (Disk 2)/04 We Run.mp3",0.0392,0.30,0.0507,0.30,0.9884,0.40,0.9784,0.50,0.0389,0.20,0.0490,0.20
"Strange Shapes/I Found A Rock _ Moment Kept Arriving/I Found A Rock.mp3",-0.0370,0.40,-0.0222,0.50,0.9866,0.30,0.9577,0.60,-0.0319,0.40,-0.0150,0.30
"Stretch 'n' Vern/Groove Radio International Presents_ House/08 - Get Up! Go Insane! (Rock 'N' Roll Mix).mp3",0.0015,0.20,-0.0183,0.20,0.9651,0.60,0.9367,0.70,0.0037,0.20,-0.0167,0.10
"Studio Pressure/Parts in the Post/08 - Relics.mp3",-0.0190,0.30,-0.0253,0.40,0.9509,0.40,0.9558,0.40,-0.0200,0.20,-0.0322,0.30
"Suicide/New Wave Club Class-X Box (Sinners Day 2011)/217 Ghost Rider.mp3",-0.0019,0.30,0.0054,0.60,0.9587,0.60,0.9604,0.60,0.0033,0.30,0.0167,0.50
"Sunscreem/Renaissance Presents Ian Ossia and Nigel Dawson/03 - Perfect Motion.mp3",-0.1016,0.50,-0.0736,0.50,0.9492,0.40,0.9662,0.70,-0.1298,0.50,-0.0983,0.40
"Swedish Egil_Hooligans_Risa/Groove Radio International Presents_ House/10 - Keep Movin' On.mp3",-0.0472,0.60,-0.0535,0.60,0.9788,0.80,0.9447,0.80,-0.0465,0.50,-0.0540,0.40
"T. Raumschmiere/Anti R/02 substrom.mp3",0.0130,0.30,0.0056,0.30,0.9924,0.60,0.9903,0.60,0.0211,0.50,0.0132,0.30
"T. Rex/Velvet Goldmine/13 - Diamond Meadows.mp3",-0.0139,0.40,-0.0154,0.40,0.9844,0.50,0.9607,0.80,-0.0037,0.40,-0.0042,0.30
"TR_ST/TRST/01 Shoom.mp3",0.0435,0.20,0.0397,0.40,0.9709,0.50,0.9573,0.50,0.0407,0.40,0.0444,0.40
"TV on The Radio/Young Liars/02 Staring At The Sun.mp3",-0.0277,0.20,-0.0077,0.20,0.9772,0.40,0.9617,0.60,-0.0220,0.40,-0.0038,0.30
"Talvin Singh/OK/03 Sutrix.mp3",-0.0257,0.00,-0.0265,0.30,0.9841,0.30,0.9609,0.50,-0.0239,0.10,-0.0238,0.00
"Tangerine Dream/Zeit [2 CD] Disc 2/01 Origin of Supernatural Probabilities.mp3",-0.0814,0.70,-0.0621,0.80,0.9565,0.80,0.9601,0.90,-0.0613,0.70,-0.0398,0.80
"Tears For Fears/Elemental/01 Elemental.mp3",-0.0169,0.30,-0.0229,0.50,0.9220,0.20,0.9084,0.50,-0.0072,0.40,-0.0036,0.20
"Terry Riley/Salome Dances for Peace D1/05 at the ancient aztec corn race.mp3",-0.0291,0.60,-0.0312,0.60,0.9943,0.90,0.9873,0.70,-0.0322,0.60,-0.0346,0.60
"The Advantage/Elf Titled/02 double dragon III, egypt.mp3",-0.0591,0.40,-0.0550,0.40,0.9953,0.60,0.9891,0.70,-0.0581,0.50,-0.0537,0.40
"The B-52's/The Best 80s Modern Rock Album...Ever! (Disk 2)/15 Rock Lobster.mp3",0.0175,0.30,0.0140,0.60,0.9498,0.30,0.9421,0.50,-0.0004,0.50,-0.0092,0.20
"The Beatles/Trick Or Treat (1986 Film)/02 After Midnight.mp3",0.0008,0.50,0.0129,0.30,0.9878,0.90,0.9474,0.60,0.0022,0.50,0.0128,0.40
"The Bees/Sunshine Hit Me/07 this town.mp3",-0.0543,0.20,-0.0441,0.30,0.9852,0.80,0.9776,0.50,-0.0663,0.30,-0.0563,0.20
"The Black Dog/Fragments/03 - Porn Shop.flac",0.0489,0.60,0.0448,0.70,0.9856,0.60,0.9828,0.70,0.0430,0.60,0.0390,0.60
"The Breeders/Title TK/12 Huffer.mp3",-0.0241,0.50,-0.0296,0.30,0.9885,0.70,0.9824,0.50,-0.0197,0.50,-0.0255,0.30
"The Buggles/The Best 80s Modern Rock Album...Ever! (Disk 2)/13 Video Killed The Radio Star.mp3",0.0459,0.30,0.0320,0.40,0.9716,0.20,0.9544,0.50,0.0451,0.10,0.0341,0.10
"The Cardigans/Gran Turismo/11 Nil.mp3",-0.0742,0.60,-0.0761,0.80,0.9876,0.50,0.9853,0.70,-0.0755,0.60,-0.0770,0.50
"The Cars/Greatest Hits/04 Good Times Roll.mp3",0.0325,0.50,0.0258,0.40,0.9921,0.70,0.9795,0.90,0.0429,0.40,0.0359,0.30
"The Chameleons/1993 - Strange Times [MP3]/11 Tears (full arrangement).mp3",0.0198,0.50,0.0065,0.40,0.9843,0.70,0.9616,0.70,0.0250,0.50,0.0093,0.30
"The Chemical Brothers/Brother's Gonna Work It Out/04 Chemical Brothers - Meat Beat Manifesto - Renegade Soundwave - DBX - Dubtribe Sound System.mp3",-0.0578,0.20,-0.0569,0.70,0.9597,0.50,0.9574,0.20,-0.0535,0.50,-0.0465,0.50
"The Chemical Brothers/Life Is Sweet/02 Life Is Sweet (Remix 2).mp3",-0.0270,0.20,-0.0381,0.40,0.9557,0.40,0.9580,0.60,-0.0134,0.40,-0.0252,0.50
"The Clash/Combat Rock/11 Inoculated City.mp3",-0.0111,0.20,0.0001,0.30,0.9818,0.60,0.9500,0.70,-0.0184,0.20,-0.0029,0.30
"The Cure/Kiss Me, Kiss Me, Kiss Me/08 Just Like Heaven.mp3",-0.0072,0.70,-0.0115,0.60,0.9889,0.70,0.9681,0.90,-0.0051,0.80,-0.0104,0.70
"The Dandy Warhols/Dandy's Rule OK_/07 Nothin To Do.mp3",0.0046,0.40,-0.0120,0.40,0.9934,0.80,0.9798,0.60,0.0048,0.40,-0.0124,0.50
"The Dead MIlkmen/Beelzebubba/13 Everybody s Got Nice Stuff But Me.mp3",-0.0363,0.40,-0.0241,0.50,0.9881,0.50,0.9871,0.80,-0.0425,0.50,-0.0283,0.40
"The Field/Looping State Of Mind/01 Is this power.mp3",-0.0301,0.30,-0.0234,0.40,0.9897,0.80,0.9868,0.80,-0.0336,0.40,-0.0261,0.30
"The Future Sound of London/Environment Five/04 Beings of Light.mp3",0.0064,0.60,0.0010,0.50,0.9496,0.80,0.9696,0.60,-0.0110,0.60,-0.0183,0.40
"The Notwist/Different Cars and Trains EP/02 Pilot (Console remix).mp3",-0.0633,0.20,-0.0644,0.50,0.9653,0.50,0.9515,0.60,-0.0708,0.20,-0.0740,0.40
"The Notwist/Johnny and Mary - The EP/12 Johnny And Mary.mp3",-0.0256,0.80,-0.0280,0.80,0.9851,0.60,0.9591,0.80,-0.0338,0.50,-0.0342,0.60
"The Notwist/Neon Golden/05 This Room.mp3",-0.0362,0.20,-0.0336,0.30,0.9456,0.30,0.9053,0.20,-0.0419,0.00,-0.0466,0.00
"The Outrunners/Wayfarer Week-End Mix May 2008/Wayfarer Week-End Mix May 2008.mp3",0.0351,0.40,0.0191,0.40,0.9682,0.50,0.9685,0.70,0.0350,0.20,0.0179,0.20
"The Pillars of Creation/VHS Wave Vol One/14 Lust.mp3",-0.0032,0.30,0.0246,0.40,0.9680,0.60,0.9596,0.50,0.0039,0.30,0.0347,0.40
"The Psychedelic Furs/Original Soundtrack - Pretty In Pink/05 Pretty In Pink - The Pysychedlic Furs.mp3",0.0192,0.50,0.0186,0.60,0.9950,0.50,0.9748,0.90,0.0181,0.60,0.0186,0.50
"The Ruby Suns/IGIF Presents_ Endless Summer Vol. I/04 Dusty Fruit.mp3",-0.0188,0.20,-0.0200,0.20,0.9807,0.60,0.9589,0.70,-0.0259,0.30,-0.0264,0.10
"The Sabres Of Paradise/Sabresonic II/Smokebelch II.mp3",0.0157,0.40,0.0189,0.50,0.9847,0.60,0.9636,0.30,0.0088,0.50,0.0141,0.20
"The Smiths/The World Won't Listen/04 Money Changes Everything.mp3",-0.0221,0.50,-0.0120,0.70,0.9855,0.60,0.9807,0.70,-0.0282,0.50,-0.0185,0.30
"The Somnambulants/Fabrication and productivity/07 dirigible.mp3",-0.0344,0.00,-0.0292,0.00,0.9853,0.40,0.9753,0.50,-0.0375,0.00,-0.0320,0.00
"The Velvet Underground/White Light _ White Heat/02 the gift.mp3",-0.0297,0.40,-0.0316,0.20,0.9852,0.60,0.9795,0.70,-0.0344,0.30,-0.0358,0.20
"Thinkhead/Platinum on Black_ The Final Chapter/10 - A Higher Motivation.mp3",-0.0470,0.60,-0.0478,0.70,0.9832,0.70,0.9808,0.90,-0.0539,0.50,-0.0544,0.50
"Thompson Twins/The Best 80s Modern Rock Album...Ever! (Disk 2)/09 Hold Me Now.mp3",-0.0139,0.30,0.0282,0.40,0.9854,0.60,0.9596,0.80,-0.0227,0.30,0.0176,0.30
"Tiki Obmar/Seasons/08 - Proem Remix.flac",0.0162,0.50,0.0216,0.60,0.9361,0.20,0.9327,0.70,0.0057,0.40,0.0059,0.20
"Timecop1983/Synthetic Romance EP/04 Lonely Nights.mp3",-0.0060,0.40,0.0015,0.50,0.9918,0.70,0.9741,0.80,-0.0013,0.40,0.0070,0.40
"Tipper/Forward Escape/04 Table Flipping.mp3",-0.0191,0.60,-0.0037,0.60,0.9780,0.60,0.9671,0.60,-0.0150,0.50,0.0017,0.40
"Tonic/The X-Files_ The Album/02 - Flower Man.mp3",-0.0065,0.60,-0.0147,0.60,0.9949,0.70,0.9838,0.70,-0.0117,0.70,-0.0182,0.60
"Tony Bennett/Ultra-Lounge, Vol. 15, Wild, Cool & Swingin' Too!/09 With Plenty Of Money And You.mp3",-0.0323,0.40,-0.0219,0.40,0.9853,0.60,0.9664,0.80,-0.0386,0.20,-0.0286,0.20
"Tori Amos/To Venus and Back, Disc 2/03 Tori Amos - Cornflake Girl.mp3",-0.0170,0.30,-0.0092,0.40,0.9783,0.60,0.9590,0.60,-0.0279,0.40,-0.0209,0.40
"Tori Amos/To Venus and Back/06 - Suede.mp3",-0.0124,0.30,-0.0291,0.40,0.9874,0.80,0.9632,0.60,-0.0086,0.40,-0.0256,0.40
"Toro Y Moi/What For_/08 Half Dome.mp3",-0.0316,0.20,-0.0401,0.20,0.9950,0.80,0.9774,0.60,-0.0341,0.20,-0.0434,0.20
"Tortoise/Millions Now Living Will Never Die/04 The Taut And Tame.mp3",-0.0084,0.40,-0.0171,0.60,0.9441,0.30,0.9168,0.50,-0.0130,0.50,-0.0133,0.10
"Turzi/Mixmag Presents_ The Return Of Mylo/02 Buenos Aires (S\u00e9bastian Tellier & Romain Turzi remix).mp3",0.0111,0.20,0.0160,0.20,0.9882,0.40,0.9809,0.50,0.0064,0.40,0.0106,0.10
"Twin Shadow/Confess/04 Run My Heart.mp3",0.0334,0.30,0.0251,0.30,0.9860,0.50,0.9588,0.50,0.0370,0.10,0.0293,0.10
"Tycho/Hohokum Soundtrack/1-07 A Walk.mp3",0.0146,0.10,-0.0036,0.20,0.9840,0.40,0.9684,0.70,0.0090,0.10,-0.0112,0.00
"U-Ziq/Bilious Paths/05 - On_Off.mp3",0.0232,0.20,-0.0014,0.30,0.9684,0.50,0.9551,0.60,0.0187,0.40,-0.0082,0.50
"U.N.K.L.E_/Unknown Album/Rabbit in your Headlights.mp3",-0.0303,0.20,-0.0402,0.40,0.9715,0.30,0.9320,0.60,-0.0366,0.00,-0.0476,0.10
"UNKLE/Parts in the Post/02 - Coffeehouse Conversation.mp3",0.0016,0.40,-0.0100,0.70,0.9482,0.60,0.9453,0.50,0.0012,0.30,-0.0064,0.40
"UNKLE/Psyence Fiction/03 Bloodstain.mp3",0.0081,0.30,-0.0162,0.40,0.9773,0.50,0.9429,0.30,0.0008,0.20,-0.0278,0.10
"Undacova/OneMinuteMassacre v1/01 UndaCova.mp3",-0.0615,0.40,-0.0813,0.60,0.9402,0.50,0.9132,0.60,-0.0580,0.50,-0.0651,0.50
"Underworld/Caf\u00e9 del Mar_ Dreams Vol. 2/08 - Second Hand.mp3",-0.0282,0.50,-0.0298,0.60,0.9807,0.60,0.9748,0.60,-0.0278,0.60,-0.0283,0.40
"VLR/Computermadness II/Computermadness II.mp3",0.0336,0.30,0.0166,0.50,0.9036,0.50,0.9068,0.30,0.0097,0.40,-0.0178,0.40
"Various Artists/Live At Lilith Fair/01 Turn Me On (with Plaid).mp3",0.0048,0.10,0.0035,0.10,0.9721,0.50,0.9582,0.60,0.0011,0.10,0.0045,0.20
"Various Artists/Strangeways, Here We Come/05 Girlfriend In A Coma.mp3",-0.0166,0.20,0.0051,0.30,0.9929,0.50,0.9737,0.80,-0.0217,0.30,0.0010,0.40
"Various/JUNE 2013/GORILLA VS BEAR JUNE 2013.mp3",-0.0065,0.10,0.0331,0.30,0.9101,0.20,0.8511,0.40,-0.0078,0.10,0.0263,0.00
"Venetian Snares/Sabbath Dubs 10_/02 Electric Funeral.mp3",-0.0081,0.40,0.0039,0.70,0.9592,0.20,0.9417,0.60,-0.0242,0.30,-0.0111,0.10
"Vic Damone/Ultra-Lounge, Vol. 15, Wild, Cool & Swingin' Too!/06 Wives And Lovers.mp3",-0.0339,0.20,-0.0411,0.20,0.9792,0.60,0.9740,0.90,-0.0442,0.20,-0.0482,0.20
"Violent Breakfast/Split/04 Porti Grandi Significa Poche Navi.mp3",0.0081,0.30,0.0054,0.30,0.9934,0.70,0.9839,0.50,0.0103,0.20,0.0072,0.20
"Virgin Prunes/New Wave Club Class-X Box (Sinners Day 2011)/302 Walls Of Jericho.mp3",0.0678,0.30,0.0499,0.30,0.9896,0.50,0.9775,0.70,0.0587,0.20,0.0416,0.20
"Wall Of Voodoo/The Best 80s Modern Rock Album...Ever! (Disk 2)/02 Mexican Radio.mp3",-0.0144,0.10,-0.0102,0.30,0.9862,0.20,0.9544,0.50,-0.0142,0.10,-0.0107,0.40
"Washed Out/Mister Mellow/12 - Million Miles Away.flac",0.0269,0.60,0.0305,0.60,0.9833,0.50,0.9726,0.70,0.0223,0.40,0.0254,0.40
"Wayne G/Platinum on Black_ The Final Chapter/09 - Twisted (Danny Tenaglia Mix).mp3",-0.1049,0.60,-0.1092,0.70,0.9848,0.50,0.9614,0.70,-0.1072,0.40,-0.1123,0.20
"Ween/Pure Guava/10 Sarah.mp3",0.0199,0.10,0.0171,0.10,0.9841,0.60,0.9782,0.60,0.0229,0.10,0.0193,0.10
"Wendy Carlos/Beauty In The Beast/01 Incantation.mp3",-0.0125,0.30,-0.0251,0.60,0.8279,0.40,0.8866,0.60,-0.0340,0.50,-0.0202,0.40
"Wendy Carlos/Switched-On Bach II/3-08 Suite From Anna Magdalena Notebook- II-Menuet In G Major.mp3",-0.0096,0.70,-0.0008,0.60,0.9848,0.70,0.9786,0.90,-0.0090,0.60,0.0018,0.50
"Windsurf/Coastlines/06 White Soweto.mp3",-0.0236,0.30,-0.0074,0.30,0.9859,0.50,0.9792,0.70,-0.0168,0.40,0.0009,0.50
"Windsurf/Weird Energy/02 Weird Energy.mp3",0.0133,0.50,0.0123,0.40,0.9828,0.50,0.9771,0.70,-0.0028,0.40,-0.0049,0.30
"XTC/The Best 80s Modern Rock Album...Ever! (Disk 2)/08 Senses Working Overtime.mp3",0.0250,0.20,0.0257,0.40,0.9850,0.30,0.9659,0.80,0.0031,0.50,0.0044,0.40
"Xenony/Polish Space Program/08 - Neptus.flac",0.0261,0.30,0.0497,0.30,0.9838,0.60,0.9676,0.60,0.0192,0.50,0.0456,0.20
"Yann Tiersen/Le Fabuleux Destin d'Am\u00e9lie Poulain/11 La Valse d'Am\u00e9lie (Version Orchestre).mp3",-0.0321,0.40,-0.0335,0.40,0.9805,0.80,0.9564,0.60,-0.0341,0.40,-0.0352,0.40
"Yann Tiersen/Le Phare/13 La Chute.mp3",-0.0112,0.50,0.0128,0.70,0.9726,0.60,0.9680,0.80,-0.0104,0.70,0.0153,0.60
"Yazoo/The Best of Yaz/01 - Only You.flac",0.0260,0.40,0.0223,0.60,0.9734,0.70,0.9616,0.50,0.0052,0.50,0.0022,0.40
"Yeasayer/All Hour Cymbals/07 Forgiveness.mp3",-0.0294,0.30,-0.0243,0.50,0.9886,0.60,0.9654,0.60,-0.0386,0.40,-0.0313,0.40
"Yellow Magic Orchestra/Solid State Survivor/03 Rydeen.mp3",-0.0222,0.20,-0.0281,0.30,0.9815,0.60,0.9484,0.40,-0.0324,0.20,-0.0376,0.30
"Yellow Magic Orchestra/Twins Super Best of YMO [CD1]/16 Music Plans.mp3",0.0415,0.40,0.0449,0.20,0.9821,0.20,0.9694,0.70,0.0410,0.20,0.0448,0.00
"Yip-Yip/In The Reptile House/01 High Heel To Mammal III.mp3",0.0030,0.20,-0.0100,0.20,0.9769,0.50,0.9632,0.60,0.0094,0.40,-0.0057,0.30
"Yohan Square/Welcome to the Universe/06 - Love of Life.mp3",-0.0508,0.70,-0.0418,0.80,0.9833,0.70,0.9679,0.90,-0.0434,0.60,-0.0359,0.60
"Yoshinori Sunahara/Take Off & Landing/04 sony romantic electro wave.mp3",0.0021,0.60,0.0132,0.60,0.9841,0.60,0.9661,0.70,0.0106,0.50,0.0218,0.40
"Young Ejecta/Unknown Album/Build A Fire.mp3",0.0349,0.60,0.0334,0.50,0.9939,0.80,0.9884,0.70,0.0289,0.60,0.0274,0.50
"Young Galaxy/Ultramarine/01-06 - What We Want (977kbps).flac",0.0484,0.20,0.0320,0.30,0.9855,0.50,0.9650,0.60,0.0498,0.40,0.0314,0.40
"Yppah/They Know What Ghost Know/02 - Gumball Machine Weekend.flac",-0.0400,0.30,-0.0117,0.40,0.9768,0.30,0.9410,0.40,-0.0413,0.40,-0.0149,0.30
"Zara/OneMinuteMassacre v1/21 Zara.mp3",0.0304,0.50,0.0107,0.60,0.9775,0.60,0.9664,0.80,0.0389,0.60,0.0209,0.50
"Zola Jesus/Conatus/05 Ixode.mp3",-0.0296,0.30,-0.0497,0.30,0.9803,0.60,0.9770,0.70,-0.0290,0.30,-0.0476,0.30
"Zola Jesus/Versions/04 Run Me Out.mp3",-0.0602,0.30,-0.0456,0.40,0.9680,0.40,0.9504,0.50,-0.0568,0.30,-0.0441,0.20
"Zomby/Where Were U in '92_/01 Fuck Mixing, Let's Dance.mp3",-0.0111,0.00,-0.0294,0.10,0.9761,0.50,0.9685,0.60,0.0008,0.10,-0.0164,0.10
