track,cos_AB,ovl_AB,cos_AC,ovl_AC,cos_AD,ovl_AD,cos_BC,ovl_BC,cos_BD,ovl_BD,cos_CD,ovl_CD
"Bob Mould/Never Mind The Mainstream_ The Best Of MTV's 120 Minutes, Vol. 1/05 See A Little Light.mp3",0.0188,0.60,0.0220,0.70,0.9939,0.80,0.9790,0.80,0.0170,0.60,0.0199,0.60
"Bochum Welt/Scharlach Eingang/02 Phlughaven Alphard (Kinesthesia Mix).mp3",-0.0175,0.40,-0.0123,0.50,0.9867,0.40,0.9872,0.50,-0.0202,0.40,-0.0132,0.20
"Boy Robot/Rotten Cocktails/05 Bass & Booze.mp3",-0.0370,0.40,-0.0216,0.70,0.9869,0.40,0.9782,0.60,-0.0361,0.40,-0.0204,0.40
"Brainbug/Future Mix, Vol. 1/05 - Nightmare.mp3",-0.0533,0.10,-0.0478,0.30,0.9515,0.20,0.9118,0.40,-0.0569,0.30,-0.0538,0.20
"Brand New Retro/Various Artists - One on Twoism Volume 2/01 Letting Go Of Reality Complete.mp3",-0.0082,0.40,-0.0109,0.40,0.9688,0.40,0.9675,0.80,-0.0094,0.30,-0.0110,0.20
"Brian Eno/Ambient 1 - Music for Airports/02 2 1.mp3",-0.0068,0.30,-0.0068,0.50,0.9821,0.70,0.9836,0.70,-0.0056,0.40,-0.0054,0.50
"Bright Eyes/Christmas/10 Have Yourself A Merry Little C.mp3",-0.0326,0.40,-0.0478,0.60,0.9726,0.50,0.9431,0.70,-0.0318,0.60,-0.0499,0.60
"Broken Bells/Meyrin Fields EP/03 An Easy Life.mp3",-0.0189,0.20,-0.0154,0.40,0.9890,0.50,0.9658,0.60,-0.0104,0.30,-0.0079,0.20
"Brooks/Red Tape/08 Tell Somebody About Us.mp3",0.0125,0.50,0.0009,0.70,0.9874,0.60,0.9687,0.70,0.0039,0.40,-0.0076,0.40
"Camille Saint-Saens/The Carnival of the Animals & Danse macabre - London Sinfonietta Charles Dutoit/01 Introduction and Royal March of the Lion.mp3",-0.0612,0.60,-0.0551,0.50,0.9757,0.70,0.9673,0.60,-0.0632,0.70,-0.0547,0.50
"Candlebox/Candlebox/05 - Far Behind.flac",0.0068,0.40,-0.0095,0.50,0.9639,0.30,0.9075,0.70,-0.0189,0.60,-0.0362,0.50
"Carly Simon/Reflections_ Carly Simon's Greatest Hits/11 Coming Around Again.mp3",0.0310,0.40,0.0230,0.40,0.9916,0.50,0.9749,0.50,0.0269,0.40,0.0184,0.30
"Carole King/Really Rosie/04 Pierre.mp3",-0.0323,0.30,-0.0291,0.50,0.9931,0.60,0.9794,0.70,-0.0279,0.50,-0.0231,0.40
"Carter Burwell/Velvet Goldmine/17 - Velvet Spacetime.mp3",-0.0244,0.50,-0.0142,0.40,0.9634,0.60,0.9702,0.50,-0.0104,0.50,-0.0001,0.30
"Casino Versus Japan/Freescha/04 Dental Fur.mp3",0.0066,0.70,0.0047,0.80,0.9786,0.70,0.9859,0.70,0.0077,0.50,0.0081,0.50
"Casino Versus Japan/Whole Numbers Play The Basics/05 Summer Clip.mp3",0.0558,0.10,0.0427,0.30,0.9877,0.70,0.9779,0.40,0.0622,0.20,0.0485,0.30
"Cathy Davey/Unknown Album/Reuben.mp3",-0.0052,0.10,0.0180,0.30,0.9794,0.70,0.9573,0.50,-0.0019,0.00,0.0198,0.20
"Ceephax Acid Crew/Camelot Arcade/11 - The Great Greatsby.flac",0.0173,0.60,0.0150,0.70,0.9768,0.50,0.9785,0.80,0.0083,0.50,0.0024,0.50
"Ceephax/FUNBOX RECORDS 01/01 ACID TRAVELATOR.mp3",-0.0316,0.20,-0.0390,0.40,0.9425,0.50,0.9172,0.30,-0.0266,0.10,-0.0413,0.20
"Chapterhouse/Whirlpool/06 - April.flac",0.0239,0.40,0.0291,0.70,0.9835,0.50,0.9732,0.60,0.0318,0.50,0.0386,0.50
"Chaser/Yoshiesque/08 - Tall Stories [Pooleys Lars from Mars' Mix].mp3",-0.0270,0.40,-0.0273,0.40,0.9767,0.60,0.9719,0.70,-0.0215,0.40,-0.0206,0.30
"Christof Glowalla/New Deutsch/08 - Erde 80.mp3",-0.0034,0.20,-0.0007,0.40,0.9881,0.40,0.9782,0.60,0.0079,0.60,0.0090,0.50
"Chrome Canyon/Elemental Themes _/01 Branches.mp3",0.0540,0.10,0.0431,0.10,0.9812,0.40,0.9685,0.60,0.0475,0.50,0.0357,0.20
"Chrome Caynon/Shinanigans/01 Midnight Success.mp3",0.0099,0.60,-0.0030,0.50,0.9766,0.70,0.9631,0.60,0.0106,0.50,-0.0089,0.40
"Circlesquare/7 Minutes And Shiny Star Remix/01 7 Minutes (Patrick Wolf remix).mp3",0.0018,0.20,-0.0102,0.30,0.9858,0.70,0.9690,0.50,-0.0093,0.30,-0.0185,0.20
"Citizens For A Better America/Go Away Paris Hilton Vinyl/01 Go Away Paris Hilton (Voodoo & Serano Mix).mp3",-0.0547,0.10,-0.0444,0.20,0.9832,0.40,0.9315,0.50,-0.0545,0.30,-0.0486,0.30
"Citizens!/Unknown Album/True Romance (Gigamesh Remix).mp3",0.0060,0.60,-0.0086,0.60,0.9797,0.40,0.9695,0.70,-0.0065,0.40,-0.0192,0.40
"Clark/Turning Dragon/01 New Year Storm.mp3",-0.0001,0.30,-0.0142,0.30,0.9468,0.60,0.9245,0.80,-0.0127,0.50,-0.0150,0.30
"Clash/London Calling/17 I'm Not Down.mp3",0.0154,0.50,0.0192,0.50,0.9955,0.70,0.9827,0.90,0.0064,0.40,0.0096,0.40
"Club 69/Clubber's Guide to Ninety Nine/02 - Always Unique.mp3",-0.0483,0.90,-0.0614,0.90,0.9845,0.80,0.9828,0.90,-0.0446,0.80,-0.0593,0.70
"Club 69_Fire Island_Loleatta Holloway/Future Mix, Vol. 1/07 - Shout to the Top!.mp3",-0.0031,0.50,-0.0167,0.60,0.9609,0.70,0.9666,0.80,0.0155,0.50,0.0003,0.50
"Cocteau Twins/Sunburst and Snowblind/03 Cocteau Twins - Hitherto.mp3",0.0567,0.20,0.0546,0.20,0.9900,0.70,0.9801,0.70,0.0539,0.10,0.0531,0.10
"Coil/Moon's Milk (In Four Phases) B/copal.mp3",0.0059,0.40,0.0035,0.70,0.9611,0.40,0.9602,0.60,-0.0189,0.60,-0.0155,0.50
"Com Truise/Silicon Tare/04 Silicon Tare.mp3",-0.0044,0.40,-0.0093,0.50,0.9852,0.60,0.9705,0.70,-0.0175,0.70,-0.0207,0.40
"Commix/Exit Records Presents - Mosaic Vol. 1/2-12 City Section.mp3",-0.0078,0.30,-0.0049,0.30,0.9943,0.40,0.9851,0.80,-0.0055,0.30,-0.0045,0.20
"Compilations/24 Hour Party People O.S.T_/05 Janie Jones.mp3",-0.0564,0.40,-0.0507,0.50,0.9919,0.70,0.9665,0.60,-0.0595,0.30,-0.0504,0.40
"Compilations/Exit Music_ Songs With Radio Heads/09 National Anthem.mp3",-0.0773,0.20,-0.0574,0.20,0.9709,0.50,0.9548,0.50,-0.0782,0.30,-0.0584,0.20
"Compilations/IDMForums001/08 Testarossa.mp3",-0.0208,0.50,-0.0339,0.40,0.9513,0.50,0.9472,0.60,-0.0350,0.40,-0.0508,0.20
"Compilations/Merck Mix 1, Spring 2003/24 Cee.mp3",-0.0123,0.30,-0.0185,0.40,0.9917,0.70,0.9846,0.60,-0.0169,0.30,-0.0237,0.40
"Compilations/Solid Steel Radio Show/13-06-07-02.mp3",-0.0639,0.20,-0.0335,0.50,0.9426,0.20,0.8767,0.30,-0.0414,0.30,-0.0026,0.20
"Compilations/Steppas' Delight_ Dubstep Present to Future/1-04 Intensive Snare (ft. Skepta).mp3",0.0836,0.40,0.0518,0.50,0.9775,0.90,0.9595,0.80,0.0709,0.50,0.0374,0.60
"Compilations/Trojan UK Hits/09 Snoopy Versus the Red Baron.mp3",-0.0191,0.20,-0.0227,0.30,0.9915,0.50,0.9896,0.70,-0.0197,0.30,-0.0247,0.30
"Cranes/Future Songs/11 the maker of heavenly trousers.mp3",0.0464,0.50,0.0350,0.50,0.9788,0.40,0.9399,0.70,0.0318,0.10,0.0199,0.10
"Creedence Clearwater Revival/Willy and the Poor Boys/10 Effigy.mp3",-0.0103,0.20,-0.0090,0.30,0.9915,0.60,0.9729,0.60,-0.0178,0.40,-0.0167,0.20
"Crystal Castles/Crystal Castles (2010)/02 Celestica.mp3",-0.0334,0.40,-0.0128,0.40,0.9784,0.60,0.9611,0.70,-0.0423,0.20,-0.0191,0.20
"Culture Club/The Best 80s Modern Rock Album...Ever! (Disk 2)/07 Do You Really Want To Hurt Me.mp3",-0.0064,0.40,0.0161,0.60,0.9422,0.20,0.9538,0.70,0.0085,0.20,0.0285,0.20
"Cure, The/The X-Files_ The Album/08 - More Than This.mp3",0.0163,0.30,-0.0173,0.30,0.9616,0.60,0.9528,0.40,0.0003,0.30,-0.0309,0.20
"DJ Real Juicy/Culture Bully Presents_ 2010 Mashed/1-03 I'm the Shit (Gucci Mane vs. Rusko mashup).mp3",-0.0054,0.40,-0.0030,0.20,0.9899,0.80,0.9769,0.60,-0.0068,0.30,-0.0040,0.10
"DJ Riko/Unknown Album/Whistler's Delight (Full Version).mp3",0.0078,0.10,0.0199,0.20,0.9613,0.30,0.9162,0.60,0.0101,0.20,0.0219,0.10
"DJ Shadow/Endtroducing..._/02 Building Steam With A Grain Of Salt.mp3",-0.0451,0.20,-0.0447,0.30,0.9476,0.30,0.9540,0.30,-0.0311,0.30,-0.0279,0.10
"DR777/The Quantum Superposition/04 Cosmos.mp3",-0.0452,0.20,-0.0527,0.40,0.9839,0.60,0.9634,0.60,-0.0434,0.40,-0.0511,0.50
"Daedelus/Bespoke/01 Tailor-Made featuring Milosh.mp3",-0.0424,0.30,-0.0195,0.20,0.9800,0.40,0.9463,0.60,-0.0410,0.10,-0.0190,0.00
"Daft Punk/Random Access Memories/12 Doin' it Right.mp3",-0.0017,0.10,-0.0139,0.20,0.9803,0.50,0.9727,0.70,0.0106,0.10,-0.0013,0.10
"Dan Deacon/America/02 True Thrush.mp3",0.0140,0.20,-0.0031,0.40,0.9417,0.60,0.9304,0.40,0.0215,0.20,0.0008,0.30
"Dandy Warhols/_..Earth To The Dandy Warhols.._/06 Talk Radio.mp3",-0.0018,0.60,0.0089,0.40,0.9812,0.60,0.9647,0.60,0.0048,0.60,0.0152,0.50
"Dangerous Minds/Future Mix, Vol. 1/10 - Live in Unity.mp3",-0.0208,0.50,-0.0087,0.60,0.9740,0.80,0.9601,0.90,-0.0216,0.60,-0.0119,0.60
"Daniel Lopatin/Uncut Gems (Original Motion Picture Soundtrack)/Daniel Lopatin - Uncut Gems - Original Motion Picture Soundtrack - 08 - Fuck You Howard.flac",0.0278,0.30,0.0271,0.50,0.9805,0.50,0.9712,0.70,0.0297,0.20,0.0250,0.40
"Darius Milhaud/Festival Dada Paris/02 Soir\u00e9e Du Coeur A Barbe - Th\u00e9\u00e2tre Michel 6 July 1923 - Caramel Mou (Shimmy).mp3",0.0204,0.80,0.0140,0.90,0.9935,0.90,0.9836,0.80,0.0283,0.80,0.0224,0.90
"David August/Electronic Groove Card/107 Instant Harmony (Original Mix).mp3",0.0198,0.40,0.0342,0.40,0.9740,0.40,0.9782,0.80,0.0065,0.30,0.0207,0.30
"David Behrman (With Gordon Mumma)/The Wire 20 Years 1982-2002_ Audio Issue/09 Players With Circuits.mp3",0.0566,0.70,0.0392,0.80,0.8974,0.60,0.9355,0.80,0.0714,0.70,0.0457,0.60
"David Bowie/Tonight/01 Blue Jean.mp3",-0.0008,0.40,0.0087,0.50,0.9836,0.50,0.9622,0.60,-0.0113,0.30,-0.0048,0.30
"David Essex/Unknown Album/Rock On [Karaoke].mp3.mp3",0.0017,0.20,0.0010,0.30,0.9863,0.50,0.9721,0.60,-0.0057,0.20,-0.0069,0.20
"Dead Can Dance/The Serpent's Egg/05 In The Kingdom Of The Blind.mp3",0.0115,0.60,0.0028,0.60,0.9783,0.60,0.9761,0.60,0.0049,0.50,-0.0030,0.40
"Dead Can Dance/Unknown Album/Mirror (with Bjork).mp3",-0.0207,0.60,-0.0405,0.40,0.9807,0.60,0.9758,0.40,-0.0186,0.40,-0.0364,0.30
"Dead Or Alive/Unknown Album/You Spin Me Right Round.mp3",-0.0418,0.40,-0.0266,0.40,0.9920,0.50,0.9824,0.60,-0.0450,0.30,-0.0314,0.20
"Dean Wareham & Britta Phillips/Mistress America (Original Motion Picture Soundtrack)/01 Mistress America.mp3",0.0153,0.10,0.0224,0.30,0.9943,0.60,0.9883,0.60,0.0151,0.30,0.0225,0.30
"Death In Vegas/Satan's Circus/03 Girls.flac",0.0406,0.40,0.0436,0.40,0.9832,0.40,0.9623,0.70,0.0327,0.30,0.0335,0.30
